Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Final Balance,Final Bank,Profit/Loss,Status,Success
32,2011-10-07_115.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,17,27,256,6,ACTIVE,Yes
33,2011-10-10_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,25,65,266,16,ACTIVE,No
34,2011-10-11_69.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,12,19,254,4,ACTIVE,Yes
35,2011-10-12_121.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,9,21,255,5,ACTIVE,Yes
36,2011-10-13_206.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,29,46,261,11,ACTIVE,No
37,2011-10-14_216.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,33,55,263,13,ACTIVE,Yes
38,2011-10-15_283.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,49,83,270,20,ACTIVE,Yes
39,2011-10-16_268.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,29,70,267,17,ACTIVE,No
40,2011-10-17_184.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,57,264,14,ACTIVE,Yes
41,2011-10-18_81.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,44,261,11,ACTIVE,Yes
42,2011-10-19_95.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,21,255,5,ACTIVE,Yes
43,2011-10-20_108.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,45,261,11,ACTIVE,No
44,2011-10-21_188.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,22,73,268,18,ACTIVE,Yes
45,2011-10-22a_167.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,45,261,11,ACTIVE,No
46,2011-10-22b_207.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,69,267,17,ACTIVE,No
47,2011-10-22c_48.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,13,22,255,5,ACTIVE,Yes
48,2011-10-22d_65.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,10,14,253,3,ACTIVE,Yes
49,2011-10-23_127.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,42,260,10,ACTIVE,Yes
50,2011-10-24_559.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,82,199,299,49,ACTIVE,No
