Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Final Balance,Final Bank,Profit/Loss,Status,Success
1,2011-09-02_203.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,18,38,259,9,ACTIVE,Yes
2,2011-09-03_86.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,10,33,258,8,ACTIVE,Yes
3,2011-09-04_124.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,35,258,8,ACTIVE,Yes
4,2011-09-05_163.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,6,7,251,1,ENDED,Yes
5,2011-09-06_134.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,19,39,259,9,ACTIVE,Yes
6,2011-09-07_106.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,8,32,258,8,ACTIVE,No
7,2011-09-08_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,48,262,12,ACTIVE,No
8,2011-09-09_190.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,22,95,273,23,ACTIVE,Yes
9,2011-09-10_184.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,23,52,263,13,ACTIVE,Yes
10,2011-09-11_108.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,19,25,256,6,ACTIVE,No
11,2011-09-12_174.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,44,261,11,ACTIVE,Yes
12,2011-09-13_133.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,26,46,261,11,ACTIVE,Yes
13,2011-09-14_160.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,36,259,9,ACTIVE,Yes
14,2011-09-15_99.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,11,16,254,4,ACTIVE,No
15,2011-09-16_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,37,259,9,ACTIVE,Yes
16,2011-09-17_161.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,17,75,268,18,ACTIVE,Yes
17,2011-09-18_160.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,25,47,261,11,ACTIVE,No
18,2011-09-19_121.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,38,259,9,ACTIVE,Yes
19,2011-09-21_130.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,11,19,254,4,ACTIVE,Yes
20,2011-09-22_139.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,11,32,258,8,ACTIVE,Yes
21,2011-09-24_189.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,30,62,265,15,ACTIVE,No
22,2011-09-26_87.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,14,28,257,7,ACTIVE,Yes
23,2011-09-27_72.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,11,27,256,6,ACTIVE,Yes
24,2011-09-28_142.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,28,44,261,11,ACTIVE,Yes
25,2011-09-29_87.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,33,258,8,ACTIVE,No
26,2011-09-30_200.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,33,258,8,ACTIVE,No
27,2011-10-01_203.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,61,265,15,ACTIVE,Yes
28,2011-10-02_263.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,30,77,269,19,ACTIVE,No
29,2011-10-03_246.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,1,0,250,0,ENDED,Yes
30,2011-10-05_100.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,34,258,8,ACTIVE,Yes
31,2011-10-06_117.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,17,23,255,5,ACTIVE,Yes
