Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Final Balance,Final Bank,Profit/Loss,Status,Success
1,2011-09-02_203.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,200,300,50,ACTIVE,Yes
2,2011-09-03_86.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,10,178,294,44,ACTIVE,Yes
3,2011-09-04_124.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,169,292,42,ACTIVE,Yes
4,2011-09-05_163.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,7,40,260,10,ENDED,Yes
5,2011-09-06_134.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,19,201,300,50,ACTIVE,Yes
6,2011-09-07_106.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,9,130,282,32,ACTIVE,No
7,2011-09-08_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,19,220,305,55,ACTIVE,Yes
8,2011-09-09_190.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,397,349,99,ACTIVE,Yes
9,2011-09-10_184.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,206,301,51,ACTIVE,Yes
10,2011-09-11_108.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,19,122,280,30,ACTIVE,No
11,2011-09-12_174.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,222,305,55,ACTIVE,Yes
12,2011-09-13_133.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,26,202,300,50,ACTIVE,Yes
13,2011-09-14_160.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,17,187,296,46,ACTIVE,Yes
14,2011-09-15_99.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,13,79,269,19,ACTIVE,Yes
15,2011-09-16_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,28,183,295,45,ACTIVE,Yes
16,2011-09-17_161.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,16,352,338,88,ACTIVE,Yes
17,2011-09-18_160.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,26,222,305,55,ACTIVE,No
18,2011-09-19_121.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,182,295,45,ACTIVE,Yes
19,2011-09-21_130.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,11,68,267,17,ACTIVE,No
20,2011-09-22_139.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,12,177,294,44,ACTIVE,Yes
21,2011-09-24_189.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,34,326,331,81,ACTIVE,Yes
22,2011-09-26_87.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,16,191,297,47,ACTIVE,Yes
23,2011-09-27_72.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,12,134,283,33,ACTIVE,Yes
24,2011-09-28_142.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,195,298,48,ACTIVE,Yes
25,2011-09-29_87.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,148,287,37,ACTIVE,No
26,2011-09-30_200.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,148,287,37,ACTIVE,No
27,2011-10-01_203.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,23,290,322,72,ACTIVE,No
28,2011-10-02_263.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,32,333,333,83,ACTIVE,No
29,2011-10-03_246.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,1,0,250,0,ENDED,Yes
30,2011-10-05_100.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,160,290,40,ACTIVE,Yes
31,2011-10-06_117.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,16,120,280,30,ACTIVE,Yes
32,2011-10-07_115.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,146,286,36,ACTIVE,Yes
33,2011-10-10_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,26,328,332,82,ACTIVE,Yes
34,2011-10-11_69.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,14,117,279,29,ACTIVE,Yes
35,2011-10-12_121.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,137,284,34,ACTIVE,Yes
36,2011-10-13_206.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,32,249,312,62,ACTIVE,No
37,2011-10-14_216.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,36,272,318,68,ACTIVE,Yes
38,2011-10-15_283.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,52,368,342,92,ACTIVE,Yes
39,2011-10-16_268.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,32,332,333,83,ACTIVE,No
40,2011-10-17_184.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,27,297,324,74,ACTIVE,Yes
41,2011-10-18_81.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,194,298,48,ACTIVE,Yes
42,2011-10-19_95.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,101,275,25,ACTIVE,Yes
43,2011-10-20_108.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,17,208,302,52,ACTIVE,No
44,2011-10-21_188.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,25,351,337,87,ACTIVE,Yes
45,2011-10-22a_167.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,29,269,317,67,ACTIVE,No
46,2011-10-22b_207.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,362,340,90,ACTIVE,No
47,2011-10-22c_48.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,13,102,275,25,ACTIVE,Yes
48,2011-10-22d_65.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,11,49,262,12,ACTIVE,Yes
49,2011-10-23_127.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,22,181,295,45,ACTIVE,Yes
50,2011-10-24_559.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,93,1008,502,252,ACTIVE,Yes
