SUMMARY
Total Turnover:,1286
Total Balance:,+199
Total Profit/Loss:,+49

Batch ID,Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Loss Limit,Sequences,Turnover,Final Balance,Final Bank,Profit/Loss,Status,Success
20251118_045434,1,2011-09-02_203.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,2,2011-09-03_86.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,3,2011-09-04_124.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,4,2011-09-05_163.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,5,2011-09-06_134.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,6,2011-09-07_106.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,7,2011-09-08_169.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,8,2011-09-09_190.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,9,2011-09-10_184.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,10,2011-09-11_108.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,11,2011-09-12_174.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,12,2011-09-13_133.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,13,2011-09-14_160.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,14,2011-09-15_99.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,15,2011-09-16_169.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,16,2011-09-17_161.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,17,2011-09-18_160.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,18,2011-09-19_121.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,19,2011-09-21_130.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,20,2011-09-22_139.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,21,2011-09-24_189.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,22,2011-09-26_87.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,23,2011-09-27_72.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,24,2011-09-28_142.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,25,2011-09-29_87.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,26,2011-09-30_200.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,27,2011-10-01_203.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,28,2011-10-02_263.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,29,2011-10-03_246.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,30,2011-10-05_100.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,31,2011-10-06_117.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,32,2011-10-07_115.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,33,2011-10-10_169.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,34,2011-10-11_69.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,35,2011-10-12_121.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,36,2011-10-13_206.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,37,2011-10-14_216.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,38,2011-10-15_283.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,39,2011-10-16_268.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,40,2011-10-17_184.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,41,2011-10-18_81.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,42,2011-10-19_95.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,43,2011-10-20_108.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,44,2011-10-21_188.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,45,2011-10-22a_167.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,46,2011-10-22b_207.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,47,2011-10-22c_48.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,48,2011-10-22d_65.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,49,2011-10-23_127.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,50,2011-10-24_559.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,51,2011-11-01_282.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,52,2011-11-02_206.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,53,2011-11-04_205.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,54,2011-11-05_230.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,55,2011-11-06_192.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,56,2011-11-08_130.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,57,2011-11-09_310.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,58,2011-11-10_253.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,59,2011-11-11a_90.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,60,2011-11-11b_91.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,61,2011-11-11c_51.xls,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,100,5,207,33,258,8,ACTIVE,Yes
20251118_045434,62,2011-11-12_303.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,63,2011-11-13_181.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,64,2011-11-14_109.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,65,2011-11-15_260.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,66,2011-11-16_255.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,67,2011-11-17_155.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,68,2011-11-18_299.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,69,2011-11-19_262.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,70,2011-11-20_299.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,71,2011-11-21_142.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,72,2011-11-22_215.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,73,2011-11-23_197.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,74,2011-11-24_271.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,75,2011-11-25_294.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,76,2011-11-26_237.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,77,2011-11-27_166.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,78,2011-11-28_156.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,79,2011-11-30_158.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,80,2011-12-01_171.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,81,2011-12-02_348.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,82,2011-12-03_361.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,83,2011-12-04_160.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,84,2011-12-05_120.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,85,2011-12-06_134.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,86,2011-12-07_92.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,87,2011-12-08_199.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,88,2011-12-09_253.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,89,2011-12-11_227.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,90,2011-12-13_113.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,91,2011-12-14_153.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,92,2011-12-15_133.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,93,2011-12-16_132.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,94,2011-12-17_127.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,95,2011-12-18_190.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,96,2011-12-19_95.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,97,2011-12-23_185b.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,98,2011-12-23_281.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,99,2011-12-23_96a.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,100,2011-12-24_162.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,101,2011-12-25_171a.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,102,2011-12-25_45c.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,103,2011-12-25_95b.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,104,2011-12-30_116.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,105,2012-01-01_133.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,106,2012-01-02_102.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,107,2012-01-03_127.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
20251118_045434,108,2012-01-08_90.xls,"Alternative (8, 44, 10)",8,-,-,-,-,-,-,-,-,-,-,-,ERROR: name 'max_bet_cap' i,-
