,line,outcome,win,a,b,c,actual bet,negative,positive,balance
159,160,32,W,8,58,14,,,,
160,161,13,L,5,44,16,,,,
161,162,0,L,6,60,20,,,,
162,163,15,L,7,80,22,,,,
163,164,20,W,8,51,12,Bet 1,,,26
164,165,26,W,5,39,14,,,,
165,166,0,L,3,25,16,,,,
166,167,12,L,4,41,20,,,,
167,168,34,W,5,61,24,,,,
168,169,0,L,3,37,24,,,,
169,170,29,W,4,61,30,,,,
170,171,16,L,,,,,,,
171,172,14,L,,,,,,,
172,173,10,L,,,,,,,
173,174,17,W,,,,,,,
174,175,18,W,8,44,10,Bet 1,,,27
175,176,15,L,5,34,12,,,,
176,177,35,W,6,46,14,,,,
177,178,13,L,4,32,16,,,,
178,179,36,L,5,48,18,,,,
179,180,20,W,6,66,22,,,,
180,181,11,L,4,44,22,,,,
181,182,31,W,5,66,26,,,,
182,183,36,L,3,40,26,,,,
183,184,6,W,4,66,32,,,,
184,185,21,W,,,,,,,
185,186,15,L,8,44,10,Bet 1,,,28
186,187,28,W,9,54,12,Bet 1,,,29
187,188,33,L,6,42,14,,,,
188,189,26,W,7,56,16,,,,
189,190,1,L,5,40,16,,,,
190,191,29,W,6,56,18,,,,
191,192,11,L,4,38,18,,,,
192,193,34,W,5,56,22,,,,
193,194,17,W,3,34,22,,,,
194,195,5,W,,,,,,,
195,196,23,L,8,44,10,Bet 1,,,30
196,197,3,W,9,54,12,Bet 1,,,31
197,198,0,L,6,42,14,,,,
198,199,1,L,7,56,16,,,,
199,200,35,W,8,72,18,,,,
200,201,28,W,5,54,20,,,,
201,202,1,L,3,34,22,,,,
202,203,17,W,4,56,28,,,,
203,204,36,L,,,,,,,
204,205,12,L,,,,,,,
205,206,20,W,,,,,,,
206,207,6,W,8,44,10,Bet 1,,,32
207,208,24,L,5,34,12,,,,
208,209,9,L,6,46,14,,,,
209,210,15,L,7,60,16,,,,
210,211,36,L,8,76,18,Bet 1,,,33
211,212,36,L,,,,Bet 1,,,34
212,213,14,L,,,,Bet 1,,,35
213,214,8,L,,,,Bet 1,-2,.3,
214,215,14,L,,,,Bet 2,-3,,
215,216,6,W,,,,,,,
216,217,14,L,9,47,10,Bet 3,-5,,
217,218,31,W,10,57,10,1 units,-4,1,
218,219,27,L,7,47,12,1 units,-5,,
219,220,8,L,8,59,14,1 units,-6,,
220,221,7,L,9,73,16,1 units,-7,,
221,222,18,W,10,89,16,1 units,-6,1.1,
222,223,36,L,7,73,20,1 units,-7,,
223,224,3,W,8,47,10,1 units,-6,1.2,
224,225,22,L,5,37,14,1 units,-7,,
225,226,8,L,6,51,16,1 units,-8,,
226,227,30,L,7,67,18,1 units,-9,,
227,228,36,L,8,85,20,1 units,-10,,
228,229,25,W,,,,,,,
229,230,13,L,9,53,10,1 units,-11,,
230,231,33,L,10,63,12,1 units,-12,,
231,232,1,L,11,75,12,,,,
232,233,8,L,12,87,14,,,,
233,234,23,L,,,,,,,
234,235,28,W,,,,,,,
235,236,8,L,13,51,6,,,,
236,237,9,L,14,57,8,,,,
237,238,3,W,15,65,8,,,,
238,239,0,L,10,57,10,2 units,-14,,
239,240,8,L,11,67,12,,,,
240,241,9,L,12,79,12,,,,
241,242,33,L,13,46,6,,,,
242,243,0,L,,,,,,,
243,244,29,W,,,,,,,
244,245,26,W,14,52,6,,,,
245,246,30,L,10,46,8,4 units,-18,,
246,247,17,W,11,54,8,,,,
247,248,16,L,7,46,12,6 units,-24,,
248,249,14,L,8,58,14,7 units,-31,,
249,250,34,W,9,72,16,8 units,-23,3.2,
250,251,18,W,6,56,18,9 units,-14,5.3,
251,252,12,L,4,38,18,7 units,-21,,
252,253,30,L,5,56,22,11 units,-32,,
253,254,23,L,6,78,26,13 units,-45,,
254,255,5,W,7,52,14,14 units,-31,9.1,
255,256,7,L,5,38,14,14 units,-45,,
256,257,9,L,6,52,16,16 units,-61,,
257,258,23,L,7,68,18,18 units,-79,,
258,259,3,W,8,86,20,20 units,-59,14.1,
259,260,18,W,5,66,26,26 units,-33,20.3,
260,261,27,L,3,40,26,10 units,-43,,
261,262,34,W,4,66,32,18 units,-25,25.1,36
262,263,5,W,,,,,,,
263,264,3,W,8,44,10,Bet 1,,,37
264,265,20,W,5,34,12,,,,
265,266,2,W,3,22,14,,,,
266,267,24,L,,,,,,,
267,268,24,L,,,,,,,
268,269,2,W,,,,,,,
269,270,4,L,8,44,10,Bet 1,,,38
270,271,22,L,9,54,12,Bet 1,,,39
271,272,1,L,10,66,12,Bet 1,,,40
272,273,36,L,11,78,14,Bet 1,,,41
273,274,30,L,,,,,,,
274,275,35,W,,,,Bet 1,,,42
275,276,18,W,12,46,6,,,,
276,277,23,L,8,40,10,,,,
277,278,3,W,9,50,10,,,,
278,279,1,L,6,40,12,,,,
279,280,24,L,7,52,14,,,,
280,281,17,W,8,66,16,,,,
281,282,0,L,5,50,20,,,,
282,283,33,L,6,70,22,,,,
283,284,13,L,7,46,12,,,,
284,285,0,L,8,58,14,Bet 1,-2,.3,
285,286,7,L,,,,Bet 2,-3,,
286,287,25,W,,,,Bet 3,-1,1.1,43
287,288,9,L,9,72,16,,,,
288,289,17,W,10,88,16,,,,
289,290,29,W,7,72,20,,,,
290,291,17,W,5,52,20,,,,
291,292,27,L,3,32,20,,,,
292,293,14,L,4,52,26,,,,
293,294,13,L,5,78,30,,,,
294,295,36,L,6,54,18,Bet 1,,,44
295,296,21,W,,,,Bet 1,,,45
296,297,13,L,7,72,20,,,,
297,298,34,W,8,46,10,,,,
298,299,25,W,5,36,14,,,,
299,300,13,L,3,22,14,,,,
300,301,5,W,4,36,18,,,,
301,302,8,L,,,,,,,
302,303,31,W,,,,,,,
303,304,23,L,8,44,10,Bet 1,,,46
304,305,6,W,9,54,12,Bet 1,,,47
305,306,29,W,6,42,14,,,,
306,307,19,L,4,28,14,,,,
307,308,34,W,5,42,16,,,,
308,309,17,W,3,26,16,,,,
309,310,14,L,,,,,,,
310,311,13,L,,,,,,,
311,312,27,L,,,,,,,
312,313,22,L,,,,,,,
313,314,31,W,,,,,,,
314,315,27,L,8,44,10,Bet 1,,,48
315,316,33,L,9,54,12,Bet 1,,,49
316,317,18,W,10,66,12,Bet 1,,,50
317,318,11,L,7,54,14,,,,
318,319,30,L,8,68,16,,,,
319,320,4,L,9,84,18,,,,
320,321,32,W,10,51,10,Bet 1,,,51
321,322,25,W,7,41,10,,,,
322,323,1,L,5,31,12,,,,
323,324,22,L,6,43,14,,,,
324,325,27,L,7,57,16,,,,
325,326,1,L,8,73,18,Bet 1,,,52
326,327,34,W,,,,Bet 1,,,53
327,328,15,L,9,46,10,,,,
328,329,29,W,10,56,10,,,,
329,330,20,W,7,46,12,,,,
330,331,22,L,5,34,12,,,,
331,332,25,W,6,46,14,,,,
332,333,15,L,4,32,16,,,,
333,334,30,L,5,48,18,,,,
334,335,6,W,6,66,22,,,,
335,336,17,W,4,44,22,,,,
336,337,3,W,,,,,,,
337,338,12,L,8,44,10,Bet 1,-2,.3,
338,339,6,W,9,54,12,Bet 2,-1,1,53
339,340,1,L,6,42,14,,,,
340,341,20,W,7,56,16,,,,
341,342,0,L,5,40,16,,,,
342,343,28,W,6,56,18,,,,
343,344,0,L,4,38,18,,,,
344,345,11,L,5,56,22,,,,
345,346,9,L,6,78,26,,,,
346,347,29,W,7,52,14,Bet 1,,,54
347,348,22,L,5,38,14,,,,
348,349,3,W,6,52,16,,,,
349,350,0,L,4,36,18,,,,
350,351,27,L,5,54,20,,,,
351,352,20,W,6,74,24,,,,
352,353,16,L,4,50,24,,,,
353,354,14,L,5,74,28,,,,
354,355,5,W,6,51,16,,,,
355,356,22,L,4,35,16,,,,
356,357,5,W,5,51,20,,,,
357,358,21,W,3,31,20,,,,
358,359,18,W,,,,,,,
359,360,2,W,8,44,10,Bet 1,,,55
360,361,3,W,5,34,12,,,,
361,362,25,W,3,22,14,,,,
362,363,4,L,,,,,,,
363,364,18,W,,,,,,,
364,365,21,W,8,44,10,Bet 1,,,56
365,366,25,W,5,34,12,,,,
366,367,10,L,3,22,14,,,,
367,368,14,L,4,36,18,,,,
368,369,35,W,5,54,20,,,,
369,370,1,L,3,34,22,,,,
370,371,27,L,4,56,28,,,,
371,372,5,W,5,84,32,,,,
372,373,16,L,3,52,34,,,,
373,374,9,L,4,86,42,,,,
374,375,28,W,5,64,24,,,,
375,376,24,L,3,40,26,,,,
376,377,6,W,4,66,32,,,,
377,378,3,W,,,,,,,
378,379,18,W,8,44,10,Bet 1,,,57
379,380,24,L,5,34,12,,,,
380,381,33,L,6,46,14,,,,
381,382,6,W,7,60,16,,,,
382,383,25,W,5,44,16,,,,
383,384,11,L,3,28,18,,,,
384,385,3,W,4,46,22,,,,
385,386,8,L,,,,,,,
386,387,21,W,,,,,,,
387,388,5,W,8,44,10,Bet 1,,,58
388,389,34,W,5,34,12,,,,
389,390,2,W,3,22,14,,,,
390,391,6,W,,,,,,,
391,392,26,W,8,44,10,Bet 1,,,59
392,393,22,L,5,34,12,,,,
393,394,27,L,6,46,14,,,,
394,395,2,W,7,60,16,,,,
395,396,29,W,5,44,16,,,,
396,397,14,L,3,28,18,,,,
397,398,31,W,4,46,22,,,,
398,399,21,W,,,,,,,
399,400,2,W,8,44,10,Bet 1,,,60
400,401,1,L,5,34,12,,,,
401,402,23,L,6,46,14,,,,
402,403,20,W,7,60,16,,,,
403,404,22,L,5,44,16,,,,
404,405,20,W,6,60,20,,,,
405,406,18,W,4,40,20,,,,
406,407,32,W,,,,,,,
407,408,14,L,8,44,10,Bet 1,,,61
408,409,16,L,9,54,12,Bet 1,,,62
409,410,5,W,10,66,12,Bet 1,,,63
410,411,11,L,7,54,14,,,,
411,412,8,L,8,68,16,,,,
412,413,34,W,9,84,18,,,,
413,414,36,L,6,66,22,,,,
414,415,31,W,7,88,24,,,,
415,416,32,W,5,64,24,,,,
416,417,4,L,3,40,26,,,,
417,418,20,W,4,66,32,,,,
418,419,22,L,,,,,,,
419,420,18,W,,,,,,,
420,421,5,W,8,44,10,Bet 1,,,64
421,422,24,L,5,34,12,,,,
422,423,11,L,6,46,14,,,,
423,424,26,W,7,60,16,,,,
424,425,20,W,5,44,16,,,,
425,426,4,L,3,28,18,,,,
426,427,31,W,4,46,22,,,,
427,428,16,L,,,,,,,
428,429,30,L,,,,,,,
429,430,2,W,,,,,,,
430,431,27,L,8,44,10,Bet 1,,,65
431,432,32,W,9,54,12,Bet 1,,,66
432,433,0,L,6,42,14,,,,
433,434,21,W,7,56,16,,,,
434,435,15,L,5,40,16,,,,
435,436,16,L,6,56,18,,,,
436,437,18,W,7,74,20,,,,
437,438,1,L,5,54,20,,,,
438,439,13,L,6,74,24,,,,
439,440,17,W,7,49,14,,,,
440,441,7,L,5,35,14,,,,
441,442,36,L,6,49,16,,,,
442,443,10,L,7,65,18,,,,
443,444,22,L,8,83,20,Bet 1,,,67
