Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Final Balance,Final Bank,Profit/Loss,Status,Success
1,2011-09-02_203.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,23,48,262,12,ACTIVE,Yes
2,2011-09-03_86.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,12,41,260,10,ACTIVE,Yes
3,2011-09-04_124.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,23,44,261,11,ACTIVE,Yes
4,2011-09-05_163.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,26,64,266,16,ACTIVE,Yes
5,2011-09-06_134.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,22,47,261,11,ACTIVE,Yes
6,2011-09-07_106.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,16,38,259,9,ACTIVE,Yes
7,2011-09-08_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,25,74,268,18,ACTIVE,Yes
8,2011-09-09_190.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,31,92,273,23,ACTIVE,Yes
9,2011-09-10_184.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,37,63,265,15,ACTIVE,Yes
10,2011-09-11_108.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,24,30,257,7,ACTIVE,No
11,2011-09-12_174.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,34,55,263,13,ACTIVE,Yes
12,2011-09-13_133.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,28,51,262,12,ACTIVE,Yes
13,2011-09-14_160.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,28,63,265,15,ACTIVE,Yes
14,2011-09-15_99.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,17,27,256,6,ACTIVE,Yes
15,2011-09-16_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,35,56,264,14,ACTIVE,Yes
16,2011-09-17_161.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,82,270,20,ACTIVE,Yes
17,2011-09-18_160.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,28,65,266,16,ACTIVE,Yes
18,2011-09-19_121.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,24,49,262,12,ACTIVE,Yes
19,2011-09-21_130.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,20,34,258,8,ACTIVE,Yes
20,2011-09-22_139.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,49,262,12,ACTIVE,Yes
21,2011-09-24_189.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,38,80,270,20,ACTIVE,Yes
22,2011-09-26_87.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,16,43,260,10,ACTIVE,Yes
23,2011-09-27_72.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,12,30,257,7,ACTIVE,Yes
24,2011-09-28_142.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,30,53,263,13,ACTIVE,Yes
25,2011-09-29_87.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,23,35,258,8,ACTIVE,Yes
26,2011-09-30_200.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,23,35,258,8,ACTIVE,Yes
27,2011-10-01_203.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,30,81,270,20,ACTIVE,Yes
28,2011-10-02_263.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,44,98,274,24,ACTIVE,No
29,2011-10-03_246.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,38,113,278,28,ACTIVE,Yes
30,2011-10-05_100.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,23,35,258,8,ACTIVE,Yes
31,2011-10-06_117.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,23,39,259,9,ACTIVE,Yes
32,2011-10-07_115.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,24,42,260,10,ACTIVE,Yes
33,2011-10-10_169.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,28,76,269,19,ACTIVE,Yes
34,2011-10-11_69.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,15,32,258,8,ACTIVE,Yes
35,2011-10-12_121.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,21,33,258,8,ACTIVE,Yes
36,2011-10-13_206.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,38,68,267,17,ACTIVE,Yes
37,2011-10-14_216.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,41,79,269,19,ACTIVE,Yes
38,2011-10-15_283.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,62,110,277,27,ACTIVE,Yes
39,2011-10-16_268.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,42,112,278,28,ACTIVE,Yes
40,2011-10-17_184.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,30,85,271,21,ACTIVE,Yes
41,2011-10-18_81.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,16,41,260,10,ACTIVE,Yes
42,2011-10-19_95.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,17,29,257,7,ACTIVE,Yes
43,2011-10-20_108.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,18,49,262,12,ACTIVE,No
44,2011-10-21_188.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,30,92,273,23,ACTIVE,Yes
45,2011-10-22a_167.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,28,72,268,18,ACTIVE,No
46,2011-10-22b_207.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,31,99,274,24,ACTIVE,Yes
47,2011-10-22c_48.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,14,21,255,5,ACTIVE,Yes
48,2011-10-22d_65.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,14,16,254,4,ACTIVE,Yes
49,2011-10-23_127.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,25,43,260,10,ACTIVE,Yes
50,2011-10-24_559.xls,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,0,101,248,312,62,ACTIVE,Yes
