Test #,File,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Sequences,Final Balance,Final Bank,Profit/Loss,Status,Success
37,2011-10-14_216.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,33,17,254,4,ACTIVE,Yes
38,2011-10-15_283.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,50,23,255,5,ACTIVE,Yes
39,2011-10-16_268.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,30,52,263,13,ACTIVE,No
40,2011-10-17_184.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,24,11,252,2,ACTIVE,Yes
41,2011-10-18_81.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,15,7,251,1,ACTIVE,Yes
42,2011-10-19_95.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,15,5,251,1,ACTIVE,Yes
43,2011-10-20_108.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,15,-64,234,-16,ACTIVE,No
44,2011-10-21_188.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,22,27,256,6,ACTIVE,Yes
45,2011-10-22a_167.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,27,11,252,2,ACTIVE,Yes
46,2011-10-22b_207.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,20,-114,221,-29,ACTIVE,No
47,2011-10-22c_48.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,13,0,250,0,ACTIVE,Yes
48,2011-10-22d_65.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,10,2,250,0,ACTIVE,Yes
49,2011-10-23_127.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,21,4,251,1,ACTIVE,Yes
50,2011-10-24_559.xls,"Standard (3, 4, 2)",8,Ena,Ena,Dis,Ena,Ena,0,82,59,264,14,ACTIVE,Yes
